Portal,Título,Resumo,Data,URL
Joven Pan,Mortos pelas chuvas no Estado da Bahia sobem para 26,"Ao todo há 518 feridos no estado, com 30.915 pessoas desabrigadas e 62.731 desalojadas",2022-01-03 23:00:00,https://jovempan.com.br/noticias/brasil/mortos-pelas-chuvas-no-estado-da-bahia-sobem-para-26.html
Joven Pan,Cabra fica presa em porta-malas de carro após alagamento em Petrópolis,O animal foi resgatado por bombeiros e devolvido ao dono,2025-04-06 09:04:02,https://jovempan.com.br/noticias/brasil/cabra-fica-presa-em-porta-malas-de-carro-apos-alagamento-em-petropolis.html
Joven Pan,Bienal ficará fechada neste sábado devido a estragos da chuva no Parque Ibirapuera,Organização da mostra de arte diz que visitação será retomada depois do ‘restabelecimento das condições’,2023-11-03 22:03:03,https://jovempan.com.br/noticias/brasil/bienal-ficara-fechada-neste-sabado-devido-a-estragos-da-chuva-no-parque-ibirapuera.html
Joven Pan,Prefeitura de São Paulo suspende vacinação em parques e farmácias por causa da chuva,Imunização será retomada na capital paulista nesta segunda-feira; temporais causaram alagamentos na cidade,2022-01-30 10:01:07,https://jovempan.com.br/noticias/brasil/prefeitura-de-sao-paulo-suspende-vacinacao-em-parques-e-farmacias-por-causa-da-chuva.html
Joven Pan,Deslizamentos em Angra dos Reis deixam pelo menos 11 desaparecidos,Equipes do Corpo de Bombeiros ainda trabalham na busca por vítimas em Ilha Grande e Ponta Negra,2022-04-02 09:05:07,https://jovempan.com.br/noticias/brasil/deslizamentos-em-angra-dos-reis-deixam-pelo-menos-11-desaparecidos.html
Joven Pan,Temporal em Ipatinga (MG) causa deslizamentos e deixa ao menos nove mortos,"Além das vítimas, uma pessoa permanece desaparecida; em resposta à calamidade, prefeitura declarou estado de emergência por um período de seis meses",2025-01-12 14:01:05,https://jovempan.com.br/noticias/brasil/temporal-em-ipatinga-mg-causa-deslizamentos-e-deixa-ao-menos-cinco-mortos.html
Joven Pan,São Paulo tem previsão de chuva forte com vento e granizo,"A tempestade atingiu a zona leste da capital, alcançando municípios da região metropolitana, como Caieiras, Franco da Rocha, Francisco Morato e Guarulhos; em Barueri, teto de um mercado desabou com a tempestade",2024-12-30 17:04:02,https://jovempan.com.br/noticias/brasil/sao-paulo-tem-previsao-de-chuva-forte-vento-e-granizo.html
G1,"Enchente atinge bananais em três cidades do Vale do Ribeira, SP","Enchente atinge bananais em três cidades do Vale do Ribeira, SP&nbsp;&nbsp;G1",2016-01-04 08:00:00,https://news.google.com/rss/articles/CBMivgFBVV95cUxQS0xzTUpaMXZMY0FVd3YyeV9iN0dhWlVTdFhLWGptRzJ2dDJ5UkNRM0cwSFdwMG9sa1RncmpxRFZ6R2tkR29mZjJ6T1paLUpGLTN1d2IxQkxRalpNWnd3VlF1cHh6Z3RDS2xVc1FYdGowY0Myc0U2N2RjS1AzbFpITXpCSnBlMlhfT1NCSEhBaElwdnBEaWhuRGRaOTdPOWVrYUpZZUplRVh5a0NGNkdPV3IxN0VyYXAyTUlHdWRB?oc=5
Joven Pan,Agosto foi o mês mais devastador para o clima com metade da área queimada no Brasil em 2024,"País viveu uma onda de incêndios no último mês, que resultou em uma área queimada de 56.516 km²; há indícios de que queimadas podem se intensificar em setembro",2024-09-12 21:04:03,https://jovempan.com.br/noticias/brasil/agosto-foi-o-mes-mais-devastador-para-o-clima-com-metade-da-area-queimada-no-brasil-em-2024.html
Joven Pan,Justiça vê omissão da prefeitura de São Paulo na prevenção de enchentes,"Segundo sentença do TJ-SP, a administração municipal tem apresentado deficiência grave e omissão continuada no enfrentamento dos problemas de drenagem urbana",2025-11-06 07:05:00,https://jovempan.com.br/noticias/brasil/justica-ve-omissao-da-prefeitura-de-sao-paulo-na-prevencao-de-enchentes.html
