,Unnamed: 0,Portal,Título,Resumo,Data,URL,sentimento,confianca
0,0,Joven Pan,Justiça inglesa rejeita recurso da BHP e mantém condenação pelo desastre de Mariana,Tribunal de Apelação encerra última via recursal comum no Reino Unido; processo agora avança para a fase de cálculo das indenizações às vítimas da tragédia,2026-05-06 09:03:00,https://jovempan.com.br/noticias/brasil/justica-inglesa-rejeita-recurso-da-bhp-e-mantem-condenacao-pelo-desastre-de-mariana.html,negative,0.6452171802520752
1,1,Joven Pan,Inmet emite alerta de perigo para chuvas intensas em áreas da Região Norte,A previsão do Inmet é de chuva entre 30 e 60 milímetros (mm) e ventos que podem chegar a 100 quilômetros por hora (km/h),2026-05-03 16:35:00,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-perigo-para-chuvas-intensas-em-areas-da-regiao-norte.html,positive,0.4951360523700714
2,2,Joven Pan,Governo da Paraíba decreta estado de calamidade pública após fortes chuvas,"De acordo com o Ministério da Integração e do Desenvolvimento Regional, o estado tem mais de 16 mil afetados pelas chuvas; duas pessoas morreram",2026-05-03 14:50:00,https://jovempan.com.br/noticias/brasil/governo-da-paraiba-decreta-estado-de-calamidade-publica-apos-fortes-chuvas.html,negative,0.6861332654953003
3,3,Joven Pan,Chuvas no Nordeste causam 8 mortes e afetam mais de 10 mil pessoas,"Entre as vítimas estão um bebê de seis meses, outro de um ano e uma criança de 7 anos; tempestades provocaram danos em pelo menos 27 municípios do Pernambuco",2026-05-03 11:40:00,https://jovempan.com.br/noticias/brasil/chuvas-no-nordeste-causam-8-mortes-e-afetam-mais-de-10-mil-pessoas.html,negative,0.8932850956916809
4,4,Joven Pan,SP deve registrar queda de temperatura com chuva forte neste domingo,"A mudança do tempo é causada pelo avanço de uma frente fria mais ativa pelo oceano, o que provoca aumento significativo de instabilidade",2026-05-03 08:30:00,https://jovempan.com.br/noticias/brasil/sao-paulo-deve-registrar-queda-de-temperatura-com-chuva-forte-neste-domingo.html,negative,0.8000451922416687
5,5,Joven Pan,Inmet emite alerta após chuvas no Nordeste deixarem pelo menos 6 mortos,"De acordo com o órgão, a previsão é de temporais entre 50 e 100mm no dia e ventos intensos entre 60 e 100 km/h, com risco de corte de energia elétrica e alagamentos",2026-05-02 12:12:00,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-apos-chuvas-no-nordeste-deixarem-pelo-menos-6-mortos.html,negative,0.6598688364028931
6,6,Joven Pan,Chuvas fortes deixam ao menos 4 mortos e mais de 1 mil desalojados em Pernambuco,A Defesa Civil estadual também registra cinco feridos,2026-05-01 19:56:00,https://jovempan.com.br/noticias/brasil/chuvas-fortes-deixam-mortos-em-pernambuco.html,negative,0.80867999792099
7,7,Joven Pan,Chuvas: Governo envia Defesa Civil para Pernambuco e Paraíba,Fortes chuvas atingem hoje as regiões,2026-05-01 19:07:00,https://jovempan.com.br/noticias/brasil/chuvas-governo-envia-defesa-civil-para-pernambuco-e-paraiba.html,positive,0.5289255380630493
8,8,Joven Pan,"SP e RJ terão sol e calor, mas frente fria traz chuva no domingo","Feriado prolongado de 1º de maio terá tempo firme em grande parte do Brasil, mas a passagem de uma massa fria atinge o sul e o sudeste",2026-04-30 09:41:00,https://jovempan.com.br/noticias/brasil/sp-e-rj-terao-sol-e-calor-mas-frente-fria-traz-chuva-no-domingo.html,negative,0.4911506772041321
9,9,Joven Pan,Inmet emite diversos alertas para chuvas no país; veja estados afetados,"Para São Paulo, há possibilidade de chuva de até 50 mm/dia, ventos intensos (40-60 km/h) e queda de granizo",2026-04-28 15:13:00,https://jovempan.com.br/noticias/brasil/inmet-emite-diversos-alertas-para-chuvas-no-pais-veja-estados-afetados.html,positive,0.5397539138793945
10,10,Joven Pan,Frente fria provoca chuvas e derruba temperaturas no centro-sul,"Alerta inclui ventos fortes, ressaca e risco de geada",2026-04-28 06:52:00,https://jovempan.com.br/noticias/brasil/frente-fria-provoca-chuvas-e-derruba-temperaturas-no-centro-sul.html,negative,0.8671970963478088
11,11,Joven Pan,Seguro auto cobre enchente? O que a sua apólice realmente diz,"Análise detalhada das coberturas, exclusões e procedimentos para acionar o seguro em caso de danos por água",2026-04-28 05:39:00,https://jovempan.com.br/noticias/seguro-auto-cobre-enchente-o-que-a-sua-apolice-realmente-diz.html,negative,0.5507592558860779
12,12,Joven Pan,"El Niño deve entrar em ação em maio e afetar chuvas no Brasil, diz entidade internacional","Segundo a Organização Meteorológica Mundial, as temperaturas da superfície do mar no Pacífico Equatorial estão subindo rapidamente após um período de neutralidade no início do ano",2026-04-27 14:19:00,https://jovempan.com.br/noticias/brasil/el-nino-deve-entrar-em-acao-em-maio-e-afetar-chuvas-no-brasil-diz-entidade-internacional.html,positive,0.46927720308303833
13,13,Joven Pan,Brasil tem alertas de tempestade e baixa umidade nesta quarta-feira,"Norte e Nordeste estão sob alerta para chuvas intensas até quinta (23), com avisos laranja e amarelo do Inmet",2026-04-22 12:00:00,https://jovempan.com.br/noticias/brasil/brasil-tem-alertas-de-tempestade-e-baixa-umidade-nesta-quarta-feira.html,positive,0.49412763118743896
14,14,Joven Pan,Pane elétrica na chuva: entenda as causas e como evitar o problema,Análise técnica dos componentes vulneráveis à água e guia de manutenção preventiva para dirigir com segurança em alagamento,2026-04-19 03:50:00,https://jovempan.com.br/noticias/brasil/pane-eletrica-na-chuva-entenda-as-causas-e-como-evitar-o-problema.html,negative,0.48181283473968506
15,15,Joven Pan,Guia para dirigir à noite com chuva: visibilidade e segurança,"Técnicas de condução, manutenção preventiva e tecnologias para máxima segurança sob baixa visibilidade",2026-04-19 02:01:00,https://jovempan.com.br/noticias/brasil/guia-para-dirigir-a-noite-com-chuva-visibilidade-e-seguranca.html,positive,0.7854520082473755
16,16,Joven Pan,Ciclone extratropical atinge o Brasil nesta semana,"Formação de uma área de baixa pressão entre a Argentina e o Uruguai deve dar origem a um ciclone extratropical entre esta segunda e terça-feira (07), impactando diretamente o Sul do país",2026-04-06 19:49:00,https://jovempan.com.br/noticias/brasil/ciclone-extratropical-atinge-o-brasil-nesta-semana.html,positive,0.438973605632782
17,17,Joven Pan,Chegada de frente fria no litoral deve causar chuva e queda de temperatura em SP,"O Centro de Gerenciamento de Emergências (CGE) alerta que, ao longo da semana, o tempo deve mudar a partir da tarde, com previsão de pancadas de chuva generalizadas",2026-04-06 13:18:00,https://jovempan.com.br/noticias/brasil/chegada-de-frente-fria-no-litoral-deve-causar-chuva-e-queda-de-temperatura-em-sp.html,negative,0.6992336511611938
18,18,Joven Pan,Inmet emite alerta de tempestades para maior parte do Brasil até terça,"Apesar dos avisos, por ora, o instituto avalia haver baixo risco de alagamentos, queda de galhos, corte de energia e estragos em plantações",2026-04-05 17:09:00,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-tempestades-para-maior-parte-do-brasil-ate-terca.html,negative,0.7947455048561096
