Portal,Título,Resumo,Data,URL
Joven Pan,Fortes chuvas voltam a atingir o país; veja previsão para SP,"O sistema intensificou a entrada de umidade e mantém a atmosfera instável, favorecendo a formação de áreas de chuva entre Minas Gerais e Rio de Janeiro",2026-05-21 14:00:02,https://jovempan.com.br/noticias/brasil/fortes-chuvas-voltam-a-atingir-o-pais-veja-previsao-para-sp.html
Joven Pan,"Frente fria avança sobre SP e traz chuva, ventos fortes e queda nas temperaturas","Na capital paulista, os termômetros devem chegar a 12°C durante as madrugadas",2026-05-09 09:05:07,https://jovempan.com.br/noticias/brasil/frente-fria-avanca-sobre-sp-e-traz-chuva-ventos-fortes-e-queda-nas-temperaturas.html
Joven Pan,Justiça inglesa rejeita recurso da BHP e mantém condenação pelo desastre de Mariana,Tribunal de Apelação encerra última via recursal comum no Reino Unido; processo agora avança para a fase de cálculo das indenizações às vítimas da tragédia,2026-05-06 09:00:03,https://jovempan.com.br/noticias/brasil/justica-inglesa-rejeita-recurso-da-bhp-e-mantem-condenacao-pelo-desastre-de-mariana.html
Joven Pan,Inmet emite alerta de perigo para chuvas intensas em áreas da Região Norte,A previsão do Inmet é de chuva entre 30 e 60 milímetros (mm) e ventos que podem chegar a 100 quilômetros por hora (km/h),2026-05-03 16:03:05,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-perigo-para-chuvas-intensas-em-areas-da-regiao-norte.html
Joven Pan,Governo da Paraíba decreta estado de calamidade pública após fortes chuvas,"De acordo com o Ministério da Integração e do Desenvolvimento Regional, o estado tem mais de 16 mil afetados pelas chuvas; duas pessoas morreram",2026-05-03 14:05:00,https://jovempan.com.br/noticias/brasil/governo-da-paraiba-decreta-estado-de-calamidade-publica-apos-fortes-chuvas.html
Joven Pan,Chuvas no Nordeste causam 8 mortes e afetam mais de 10 mil pessoas,"Entre as vítimas estão um bebê de seis meses, outro de um ano e uma criança de 7 anos; tempestades provocaram danos em pelo menos 27 municípios do Pernambuco",2026-05-03 11:04:00,https://jovempan.com.br/noticias/brasil/chuvas-no-nordeste-causam-8-mortes-e-afetam-mais-de-10-mil-pessoas.html
Joven Pan,SP deve registrar queda de temperatura com chuva forte neste domingo,"A mudança do tempo é causada pelo avanço de uma frente fria mais ativa pelo oceano, o que provoca aumento significativo de instabilidade",2026-05-03 08:03:00,https://jovempan.com.br/noticias/brasil/sao-paulo-deve-registrar-queda-de-temperatura-com-chuva-forte-neste-domingo.html
Joven Pan,Inmet emite alerta após chuvas no Nordeste deixarem pelo menos 6 mortos,"De acordo com o órgão, a previsão é de temporais entre 50 e 100mm no dia e ventos intensos entre 60 e 100 km/h, com risco de corte de energia elétrica e alagamentos",2026-05-02 12:01:02,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-apos-chuvas-no-nordeste-deixarem-pelo-menos-6-mortos.html
Joven Pan,Chuvas fortes deixam ao menos 4 mortos e mais de 1 mil desalojados em Pernambuco,A Defesa Civil estadual também registra cinco feridos,2026-05-01 19:05:06,https://jovempan.com.br/noticias/brasil/chuvas-fortes-deixam-mortos-em-pernambuco.html
Joven Pan,Chuvas: Governo envia Defesa Civil para Pernambuco e Paraíba,Fortes chuvas atingem hoje as regiões,2026-05-01 19:00:07,https://jovempan.com.br/noticias/brasil/chuvas-governo-envia-defesa-civil-para-pernambuco-e-paraiba.html
Joven Pan,"SP e RJ terão sol e calor, mas frente fria traz chuva no domingo","Feriado prolongado de 1º de maio terá tempo firme em grande parte do Brasil, mas a passagem de uma massa fria atinge o sul e o sudeste",2026-04-30 09:04:01,https://jovempan.com.br/noticias/brasil/sp-e-rj-terao-sol-e-calor-mas-frente-fria-traz-chuva-no-domingo.html
Joven Pan,Frente fria provoca chuvas e derruba temperaturas no centro-sul,"Alerta inclui ventos fortes, ressaca e risco de geada",2026-04-28 06:05:02,https://jovempan.com.br/noticias/brasil/frente-fria-provoca-chuvas-e-derruba-temperaturas-no-centro-sul.html
Joven Pan,Seguro auto cobre enchente? O que a sua apólice realmente diz,"Análise detalhada das coberturas, exclusões e procedimentos para acionar o seguro em caso de danos por água",2026-04-28 05:03:09,https://jovempan.com.br/noticias/seguro-auto-cobre-enchente-o-que-a-sua-apolice-realmente-diz.html
Joven Pan,"El Niño deve entrar em ação em maio e afetar chuvas no Brasil, diz entidade internacional","Segundo a Organização Meteorológica Mundial, as temperaturas da superfície do mar no Pacífico Equatorial estão subindo rapidamente após um período de neutralidade no início do ano",2026-04-27 14:01:09,https://jovempan.com.br/noticias/brasil/el-nino-deve-entrar-em-acao-em-maio-e-afetar-chuvas-no-brasil-diz-entidade-internacional.html
