titulo,link,data,descricao
Fortes chuvas voltam a atingir o país; veja previsão para SP,https://jovempan.com.br/noticias/brasil/fortes-chuvas-voltam-a-atingir-o-pais-veja-previsao-para-sp.html,21/05/2026 14h02,"O sistema intensificou a entrada de umidade e mantém a atmosfera instável, favorecendo a formação de áreas de chuva entre Minas Gerais e Rio de Janeiro"
"Frente fria avança sobre SP e traz chuva, ventos fortes e queda nas temperaturas",https://jovempan.com.br/noticias/brasil/frente-fria-avanca-sobre-sp-e-traz-chuva-ventos-fortes-e-queda-nas-temperaturas.html,09/05/2026 09h57,"Na capital paulista, os termômetros devem chegar a 12°C durante as madrugadas"
Justiça inglesa rejeita recurso da BHP e mantém condenação pelo desastre de Mariana,https://jovempan.com.br/noticias/brasil/justica-inglesa-rejeita-recurso-da-bhp-e-mantem-condenacao-pelo-desastre-de-mariana.html,06/05/2026 09h03,Tribunal de Apelação encerra última via recursal comum no Reino Unido; processo agora avança para a fase de cálculo das indenizações às vítimas da tragédia
Inmet emite alerta de perigo para chuvas intensas em áreas da Região Norte,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-perigo-para-chuvas-intensas-em-areas-da-regiao-norte.html,03/05/2026 16h35,A previsão do Inmet é de chuva entre 30 e 60 milímetros (mm) e ventos que podem chegar a 100 quilômetros por hora (km/h)
Governo da Paraíba decreta estado de calamidade pública após fortes chuvas,https://jovempan.com.br/noticias/brasil/governo-da-paraiba-decreta-estado-de-calamidade-publica-apos-fortes-chuvas.html,03/05/2026 14h50,"De acordo com o Ministério da Integração e do Desenvolvimento Regional, o estado tem mais de 16 mil afetados pelas chuvas; duas pessoas morreram"
Chuvas no Nordeste causam 8 mortes e afetam mais de 10 mil pessoas,https://jovempan.com.br/noticias/brasil/chuvas-no-nordeste-causam-8-mortes-e-afetam-mais-de-10-mil-pessoas.html,03/05/2026 11h40,"Entre as vítimas estão um bebê de seis meses, outro de um ano e uma criança de 7 anos; tempestades provocaram danos em pelo menos 27 municípios do Pernambuco"
SP deve registrar queda de temperatura com chuva forte neste domingo,https://jovempan.com.br/noticias/brasil/sao-paulo-deve-registrar-queda-de-temperatura-com-chuva-forte-neste-domingo.html,03/05/2026 08h30,"A mudança do tempo é causada pelo avanço de uma frente fria mais ativa pelo oceano, o que provoca aumento significativo de instabilidade"
Inmet emite alerta após chuvas no Nordeste deixarem pelo menos 6 mortos,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-apos-chuvas-no-nordeste-deixarem-pelo-menos-6-mortos.html,02/05/2026 12h12,"De acordo com o órgão, a previsão é de temporais entre 50 e 100mm no dia e ventos intensos entre 60 e 100 km/h, com risco de corte de energia elétrica e alagamentos"
Chuvas fortes deixam ao menos 4 mortos e mais de 1 mil desalojados em Pernambuco,https://jovempan.com.br/noticias/brasil/chuvas-fortes-deixam-mortos-em-pernambuco.html,01/05/2026 19h56,A Defesa Civil estadual também registra cinco feridos
Chuvas: Governo envia Defesa Civil para Pernambuco e Paraíba,https://jovempan.com.br/noticias/brasil/chuvas-governo-envia-defesa-civil-para-pernambuco-e-paraiba.html,01/05/2026 19h07,Fortes chuvas atingem hoje as regiões
"SP e RJ terão sol e calor, mas frente fria traz chuva no domingo",https://jovempan.com.br/noticias/brasil/sp-e-rj-terao-sol-e-calor-mas-frente-fria-traz-chuva-no-domingo.html,30/04/2026 09h41,"Feriado prolongado de 1º de maio terá tempo firme em grande parte do Brasil, mas a passagem de uma massa fria atinge o sul e o sudeste"
Frente fria provoca chuvas e derruba temperaturas no centro-sul,https://jovempan.com.br/noticias/brasil/frente-fria-provoca-chuvas-e-derruba-temperaturas-no-centro-sul.html,28/04/2026 06h52,"Alerta inclui ventos fortes, ressaca e risco de geada"
Seguro auto cobre enchente? O que a sua apólice realmente diz,https://jovempan.com.br/noticias/seguro-auto-cobre-enchente-o-que-a-sua-apolice-realmente-diz.html,28/04/2026 05h39,"Análise detalhada das coberturas, exclusões e procedimentos para acionar o seguro em caso de danos por água"
"El Niño deve entrar em ação em maio e afetar chuvas no Brasil, diz entidade internacional",https://jovempan.com.br/noticias/brasil/el-nino-deve-entrar-em-acao-em-maio-e-afetar-chuvas-no-brasil-diz-entidade-internacional.html,27/04/2026 14h19,"Segundo a Organização Meteorológica Mundial, as temperaturas da superfície do mar no Pacífico Equatorial estão subindo rapidamente após um período de neutralidade no início do ano"
Brasil tem alertas de tempestade e baixa umidade nesta quarta-feira,https://jovempan.com.br/noticias/brasil/brasil-tem-alertas-de-tempestade-e-baixa-umidade-nesta-quarta-feira.html,22/04/2026 12h00,"Norte e Nordeste estão sob alerta para chuvas intensas até quinta (23), com avisos laranja e amarelo do Inmet"
Pane elétrica na chuva: entenda as causas e como evitar o problema,https://jovempan.com.br/noticias/brasil/pane-eletrica-na-chuva-entenda-as-causas-e-como-evitar-o-problema.html,19/04/2026 03h50,Análise técnica dos componentes vulneráveis à água e guia de manutenção preventiva para dirigir com segurança em alagamento
Guia para dirigir à noite com chuva: visibilidade e segurança,https://jovempan.com.br/noticias/brasil/guia-para-dirigir-a-noite-com-chuva-visibilidade-e-seguranca.html,19/04/2026 02h01,"Técnicas de condução, manutenção preventiva e tecnologias para máxima segurança sob baixa visibilidade"
Chegada de frente fria no litoral deve causar chuva e queda de temperatura em SP,https://jovempan.com.br/noticias/brasil/chegada-de-frente-fria-no-litoral-deve-causar-chuva-e-queda-de-temperatura-em-sp.html,06/04/2026 13h18,"O Centro de Gerenciamento de Emergências (CGE) alerta que, ao longo da semana, o tempo deve mudar a partir da tarde, com previsão de pancadas de chuva generalizadas"
Inmet emite alerta de tempestades para maior parte do Brasil até terça,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-tempestades-para-maior-parte-do-brasil-ate-terca.html,05/04/2026 17h09,"Apesar dos avisos, por ora, o instituto avalia haver baixo risco de alagamentos, queda de galhos, corte de energia e estragos em plantações"
Domingo de Páscoa terá calor e pancadas de chuva,https://jovempan.com.br/noticias/brasil/domingo-de-pascoa-tera-calor-e-pancadas-de-chuva.html,04/04/2026 17h41,"Neste sábado, os termômetros na capital paulista chegaram a registrar 32°C na região da Avenida Paulista"
Chegada de ciclone e frente fria aumenta a chance de chuvas no país,https://jovempan.com.br/noticias/brasil/chegada-de-ciclone-e-frente-fria-aumenta-a-chance-de-chuvas-no-pais.html,24/03/2026 11h54,Primeira semana do outono começa com mudanças no tempo em diferentes regiões
"Chuva dá trégua em SP nesta sexta, mas Sudeste segue em alerta",https://jovempan.com.br/programas/jornal-da-manha/chuva-da-tregua-em-sp-nesta-sexta-mas-sudeste-segue-em-alerta.html,13/03/2026 08h14,"Temperatura em São Paulo sobe, com máxima prevista de 26ºC; instabilidades são esperadas no Norte e Centro-Oeste"
Cidade de SP entra em alerta vermelho para fortes chuvas e alagamentos,https://jovempan.com.br/noticias/brasil/cidade-de-sp-entra-em-alerta-vermelho-para-fortes-chuvas-e-alagamentos.html,12/03/2026 10h16,Inmet informou que há risco de precipitação superior a 60 milímetros por hora ou acima de 100 milímetros por dia
São Paulo pode receber mais da metade da chuva prevista para março nos próximos quatro dias,https://jovempan.com.br/noticias/brasil/sao-paulo-pode-receber-mais-da-metade-da-chuva-prevista-para-marco-nos-proximos-dias.html,09/03/2026 21h56,Gabinete de Crise da Defesa Civil segue monitorando; cenário é de atenção para o estado paulista
Defesa Civil emite alerta para chuvas intensas em São Paulo até quarta-feira,https://jovempan.com.br/noticias/brasil/defesa-civil-emite-alerta-para-chuvas-intensas-em-sao-paulo-para-ate-quarta-feira.html,09/03/2026 12h32,"Órgão informou que a previsão para os próximos dias é de tempestades, rajadas de vento e raios em diferentes regiões do estado"
Fortes chuvas destroem academia de crossfit na Zona Sul de SP,https://jovempan.com.br/programas/jornal-da-manha/fortes-chuvas-destroem-academia-de-crossfit-na-zona-sul-de-sp.html,09/03/2026 11h12,"Em entrevista à Jovem Pan, o responsável pelo local, Ricardo Tost, afirmou que prejuízo estimado ultrapassa a marca dos R$ 100 mil"
"Forte chuva derruba parte de muro do Aeroporto de Congonhas, em São Paulo",https://jovempan.com.br/noticias/brasil/forte-chuva-derruba-parte-de-muro-do-aeroporto-de-congonhas-em-sao-paulo.html,08/03/2026 22h04,"Apesar do incidente, não houve registro de feridos e as operações do local não foram afetadas"
Chuvas provocam duas mortes em SP neste sábado,https://jovempan.com.br/noticias/brasil/chuvas-provocam-morte-de-duas-pessoas-em-sp.html,08/03/2026 11h19,Previsão para o domingo é de mais chuvas com rajadas de ventos
Inmet emite alerta laranja para ventos e tempestades no Sul e Sudeste,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-laranja-para-ventos-e-tempestades-no-sul-e-sudeste.html,07/03/2026 11h39,"No Rio Grande do Sul a chuva deve alcançar entre 50 e 10 milímetros por dia, com ventos que podem chegar a 100 quilômetros por hora"
Forte chuva coloca regiões de São Paulo em estado de atenção para alagamentos,https://jovempan.com.br/noticias/brasil/forte-chuva-coloca-regioes-de-sao-paulo-em-estado-de-atencao-para-alagamentos.html,07/03/2026 09h28,"Temporal na manhã deste sábado (7) atinge zonas norte, oeste e centro da capital, além da Marginal Tietê, menos de 24 horas após outra chuva causar estragos na cidade"
Cidade de SP entra em estado de atenção para alagamentos; Defesa Civil emite alerta,https://jovempan.com.br/noticias/brasil/cidade-de-sp-entra-em-estado-de-atencao-para-alagamentos-defesa-civil-emite-alerta.html,06/03/2026 13h45,"Imagens do radar meteorológico do CGE da Prefeitura de São Paulo mostram chuva nas zonas Norte, Oeste e Leste"
Inmet emite alertas laranja e amarelo para chuvas em SP e outros estados,https://jovempan.com.br/noticias/brasil/inmet-emite-alertas-laranja-e-amarelo-para-chuvas-em-sp-e-outros-estados.html,06/03/2026 13h21,"No domingo (8), a aproximação de uma frente fria muda o tempo na cidade de São Paulo"
Sobe para 72 o número de mortos nas chuvas em Minas Gerais,https://jovempan.com.br/noticias/brasil/sobe-para-72-o-numero-de-mortos-nas-chuvas-em-minas-gerais.html,01/03/2026 10h38,"Uma pessoa continua desaparecida em Ubá, segundo Polícia Civil"
"Minas Gerais, Rio de Janeiro e outros estados seguem com alerta vermelho para chuvas",https://jovempan.com.br/noticias/brasil/minas-gerais-rio-de-janeiro-e-outros-estados-seguem-com-alerta-vermelho-para-chuvas.html,27/02/2026 12h21,O alerta vermelho para acúmulo de chuva indica precipitação superior a 60 mm/h ou acima de 100 mm/dia
Chuvas em Minas Gerais: Sobe para 64 número de mortos,https://jovempan.com.br/noticias/brasil/chuvas-minas-gerais-numero-de-mortos.html,26/02/2026 09h40,"Temporais que atingiram Juiz de Fora, Ubá e outros municípios da Zona da Mata também deixaram desaparecidos e centenas de pessoas foram resgatadas na região"
Chuvas deixam desabrigados e cenário de incerteza em Juiz de Fora,https://jovempan.com.br/noticias/brasil/chuvas-deixam-desabrigados-e-cenario-de-incerteza-em-juiz-de-fora.html,26/02/2026 06h33,Mais de 3 mil pessoas estão sem moradia fixa desde segunda-feira (23)
